pais,anio,years_since_2016,porcentaje_internet,grupo_18 a 25 anos de edad,grupo_26 a 50 anos de edad,grupo_51 a 65 anos,grupo_66 anos en adelante,grupo_edad de medicion a 17 anos
Argentina,2016,0,76,0,0,0,0,1
Argentina,2016,0,86,1,0,0,0,0
Argentina,2016,0,82,0,1,0,0,0
Argentina,2016,0,61,0,0,1,0,0
Argentina,2016,0,29,0,0,0,1,0
Argentina,2017,1,76,0,0,0,0,1
Argentina,2017,1,90,1,0,0,0,0
Argentina,2017,1,86,0,1,0,0,0
Argentina,2017,1,68,0,0,1,0,0
Argentina,2017,1,34,0,0,0,1,0
Argentina,2018,2,79,0,0,0,0,1
Argentina,2018,2,90,1,0,0,0,0
Argentina,2018,2,88,0,1,0,0,0
Argentina,2018,2,74,0,0,1,0,0
Argentina,2018,2,40,0,0,0,1,0
Argentina,2019,3,79,0,0,0,0,1
Argentina,2019,3,92,1,0,0,0,0
Argentina,2019,3,90,0,1,0,0,0
Argentina,2019,3,77,0,0,1,0,0
Argentina,2019,3,46,0,0,0,1,0
Argentina,2020,4,88,0,0,0,0,1
Argentina,2020,4,95,1,0,0,0,0
Argentina,2020,4,92,0,1,0,0,0
Argentina,2020,4,81,0,0,1,0,0
Argentina,2020,4,55,0,0,0,1,0
Argentina,2021,5,87,0,0,0,0,1
Argentina,2021,5,95,1,0,0,0,0
Argentina,2021,5,94,0,1,0,0,0
Argentina,2021,5,87,0,0,1,0,0
Argentina,2021,5,57,0,0,0,1,0
Argentina,2022,6,87,0,0,0,0,1
Argentina,2022,6,97,1,0,0,0,0
Argentina,2022,6,95,0,1,0,0,0
Argentina,2022,6,88,0,0,1,0,0
Argentina,2022,6,63,0,0,0,1,0
Bolivia (Estado Plurinacional de),2016,0,34,0,0,0,0,1
Bolivia (Estado Plurinacional de),2016,0,73,1,0,0,0,0
Bolivia (Estado Plurinacional de),2016,0,45,0,1,0,0,0
Bolivia (Estado Plurinacional de),2016,0,18,0,0,1,0,0
Bolivia (Estado Plurinacional de),2016,0,5,0,0,0,1,0
Bolivia (Estado Plurinacional de),2017,1,27,0,0,0,0,1
Bolivia (Estado Plurinacional de),2017,1,66,1,0,0,0,0
Bolivia (Estado Plurinacional de),2017,1,45,0,1,0,0,0
Bolivia (Estado Plurinacional de),2017,1,17,0,0,1,0,0
Bolivia (Estado Plurinacional de),2017,1,5,0,0,0,1,0
Bolivia (Estado Plurinacional de),2018,2,35,0,0,0,0,1
Bolivia (Estado Plurinacional de),2018,2,78,1,0,0,0,0
Bolivia (Estado Plurinacional de),2018,2,55,0,1,0,0,0
Bolivia (Estado Plurinacional de),2018,2,23,0,0,1,0,0
Bolivia (Estado Plurinacional de),2018,2,8,0,0,0,1,0
Bolivia (Estado Plurinacional de),2019,3,33,0,0,0,0,1
Bolivia (Estado Plurinacional de),2019,3,79,1,0,0,0,0
Bolivia (Estado Plurinacional de),2019,3,60,0,1,0,0,0
Bolivia (Estado Plurinacional de),2019,3,30,0,0,1,0,0
Bolivia (Estado Plurinacional de),2019,3,12,0,0,0,1,0
Bolivia (Estado Plurinacional de),2020,4,56,0,0,0,0,1
Bolivia (Estado Plurinacional de),2020,4,84,1,0,0,0,0
Bolivia (Estado Plurinacional de),2020,4,73,0,1,0,0,0
Bolivia (Estado Plurinacional de),2020,4,40,0,0,1,0,0
Bolivia (Estado Plurinacional de),2020,4,17,0,0,0,1,0
Bolivia (Estado Plurinacional de),2021,5,68,0,0,0,0,1
Bolivia (Estado Plurinacional de),2021,5,86,1,0,0,0,0
Bolivia (Estado Plurinacional de),2021,5,73,0,1,0,0,0
Bolivia (Estado Plurinacional de),2021,5,45,0,0,1,0,0
Bolivia (Estado Plurinacional de),2021,5,21,0,0,0,1,0
Chile,2017,1,84,0,0,0,0,1
Chile,2017,1,94,1,0,0,0,0
Chile,2017,1,86,0,1,0,0,0
Chile,2017,1,58,0,0,1,0,0
Chile,2017,1,23,0,0,0,1,0
Colombia,2016,0,69,0,0,0,0,1
Colombia,2016,0,80,1,0,0,0,0
Colombia,2016,0,62,0,1,0,0,0
Colombia,2016,0,34,0,0,1,0,0
Colombia,2016,0,10,0,0,0,1,0
Colombia,2018,2,66,0,0,0,0,1
Colombia,2018,2,83,1,0,0,0,0
Colombia,2018,2,71,0,1,0,0,0
Colombia,2018,2,48,0,0,1,0,0
Colombia,2018,2,21,0,0,0,1,0
Colombia,2019,3,67,0,0,0,0,1
Colombia,2019,3,83,1,0,0,0,0
Colombia,2019,3,74,0,1,0,0,0
Colombia,2019,3,50,0,0,1,0,0
Colombia,2019,3,22,0,0,0,1,0
Colombia,2020,4,74,0,0,0,0,1
Colombia,2020,4,84,1,0,0,0,0
Colombia,2020,4,78,0,1,0,0,0
Colombia,2020,4,57,0,0,1,0,0
Colombia,2020,4,29,0,0,0,1,0
Colombia,2021,5,78,0,0,0,0,1
Colombia,2021,5,87,1,0,0,0,0
Colombia,2021,5,81,0,1,0,0,0
Colombia,2021,5,61,0,0,1,0,0
Colombia,2021,5,32,0,0,0,1,0
