pais,anio,real,predicho_gb_opt,residual,abs_error,grupo_etario
Argentina,2021,87,88.49587219048917,-1.495872190489166,1.495872190489166,edad de medicion a 17 anos
Argentina,2021,95,95.02893864072348,-0.028938640723481512,0.028938640723481512,18 a 25 anos de edad
Argentina,2021,94,92.21688584025,1.7831141597499993,1.7831141597499993,26 a 50 anos de edad
Argentina,2021,87,80.68893277867352,6.311067221326482,6.311067221326482,51 a 65 anos
Argentina,2021,57,54.49752738356461,2.5024726164353908,2.5024726164353908,66 anos en adelante
Argentina,2022,87,88.49587219048917,-1.495872190489166,1.495872190489166,edad de medicion a 17 anos
Argentina,2022,97,95.02893864072348,1.9710613592765185,1.9710613592765185,18 a 25 anos de edad
Argentina,2022,95,92.21688584025,2.7831141597499993,2.7831141597499993,26 a 50 anos de edad
Argentina,2022,88,80.68893277867352,7.311067221326482,7.311067221326482,51 a 65 anos
Argentina,2022,63,54.49752738356461,8.50247261643539,8.50247261643539,66 anos en adelante
Bolivia (Estado Plurinacional de),2021,68,55.44751798840229,12.55248201159771,12.55248201159771,edad de medicion a 17 anos
Bolivia (Estado Plurinacional de),2021,86,83.99581475259882,2.004185247401182,2.004185247401182,18 a 25 anos de edad
Bolivia (Estado Plurinacional de),2021,73,72.71211049313312,0.2878895068668754,0.2878895068668754,26 a 50 anos de edad
Bolivia (Estado Plurinacional de),2021,45,40.3831025968344,4.616897403165602,4.616897403165602,51 a 65 anos
Bolivia (Estado Plurinacional de),2021,21,17.631617637921895,3.368382362078105,3.368382362078105,66 anos en adelante
Colombia,2021,78,74.13456476677422,3.8654352332257815,3.8654352332257815,edad de medicion a 17 anos
Colombia,2021,87,84.20894652093838,2.791053479061617,2.791053479061617,18 a 25 anos de edad
Colombia,2021,81,77.98234685424161,3.0176531457583877,3.0176531457583877,26 a 50 anos de edad
Colombia,2021,61,56.81715176404564,4.18284823595436,4.18284823595436,51 a 65 anos
Colombia,2021,32,28.634640993334582,3.365359006665418,3.365359006665418,66 anos en adelante
Colombia,2022,72,74.13456476677422,-2.1345647667742185,2.1345647667742185,edad de medicion a 17 anos
Colombia,2022,88,84.20894652093838,3.791053479061617,3.791053479061617,18 a 25 anos de edad
Colombia,2022,83,77.98234685424161,5.017653145758388,5.017653145758388,26 a 50 anos de edad
Colombia,2022,62,56.81715176404564,5.18284823595436,5.18284823595436,51 a 65 anos
Colombia,2022,33,28.634640993334582,4.365359006665418,4.365359006665418,66 anos en adelante
Costa Rica,2021,82,79.91692819413662,2.0830718058633835,2.0830718058633835,edad de medicion a 17 anos
Costa Rica,2021,95,93.9192792901748,1.0807207098252007,1.0807207098252007,18 a 25 anos de edad
Costa Rica,2021,92,91.19865659025203,0.8013434097479717,0.8013434097479717,26 a 50 anos de edad
Costa Rica,2021,80,75.790738544179,4.209261455820993,4.209261455820993,51 a 65 anos
Costa Rica,2021,46,39.13144834123779,6.8685516587622075,6.8685516587622075,66 anos en adelante
Costa Rica,2022,78,79.91692819413662,-1.9169281941366165,1.9169281941366165,edad de medicion a 17 anos
Costa Rica,2022,94,93.9192792901748,0.08072070982520074,0.08072070982520074,18 a 25 anos de edad
Costa Rica,2022,92,91.19865659025203,0.8013434097479717,0.8013434097479717,26 a 50 anos de edad
Costa Rica,2022,83,75.790738544179,7.209261455820993,7.209261455820993,51 a 65 anos
Costa Rica,2022,51,39.13144834123779,11.868551658762208,11.868551658762208,66 anos en adelante
México,2021,77,73.2416170965632,3.7583829034367966,3.7583829034367966,edad de medicion a 17 anos
México,2021,81,76.62728921802945,4.372710781970554,4.372710781970554,18 a 25 anos de edad
México,2021,79,75.82944169131481,3.1705583086851874,3.1705583086851874,26 a 50 anos de edad
México,2021,72,68.28584987835217,3.714150121647833,3.714150121647833,51 a 65 anos
México,2021,55,52.01042695343326,2.98957304656674,2.98957304656674,66 anos en adelante
México,2022,79,73.2416170965632,5.758382903436797,5.758382903436797,edad de medicion a 17 anos
México,2022,84,76.62728921802945,7.372710781970554,7.372710781970554,18 a 25 anos de edad
México,2022,82,75.82944169131481,6.170558308685187,6.170558308685187,26 a 50 anos de edad
México,2022,75,68.28584987835217,6.714150121647833,6.714150121647833,51 a 65 anos
México,2022,57,52.01042695343326,4.98957304656674,4.98957304656674,66 anos en adelante
Panamá,2022,81,76.79327050554507,4.206729494454933,4.206729494454933,edad de medicion a 17 anos
Panamá,2022,89,81.413354729121,7.5866452708790035,7.5866452708790035,18 a 25 anos de edad
Panamá,2022,84,75.06684744929596,8.933152550704037,8.933152550704037,26 a 50 anos de edad
Panamá,2022,73,56.08196274099273,16.91803725900727,16.91803725900727,51 a 65 anos
Panamá,2022,39,26.380050898129667,12.619949101870333,12.619949101870333,66 anos en adelante
Paraguay,2021,70,70.53443923475933,-0.5344392347593327,0.5344392347593327,edad de medicion a 17 anos
Paraguay,2021,92,90.30307852076578,1.69692147923422,1.69692147923422,18 a 25 anos de edad
Paraguay,2021,89,85.38556071627151,3.614439283728487,3.614439283728487,26 a 50 anos de edad
Paraguay,2021,61,54.98604413589988,6.013955864100119,6.013955864100119,51 a 65 anos
Paraguay,2021,25,18.71491891821886,6.28508108178114,6.28508108178114,66 anos en adelante
Paraguay,2022,64,70.53443923475933,-6.534439234759333,6.534439234759333,edad de medicion a 17 anos
Paraguay,2022,91,90.30307852076578,0.69692147923422,0.69692147923422,18 a 25 anos de edad
Paraguay,2022,88,85.38556071627151,2.614439283728487,2.614439283728487,26 a 50 anos de edad
Paraguay,2022,64,54.98604413589988,9.013955864100119,9.013955864100119,51 a 65 anos
Paraguay,2022,29,18.71491891821886,10.28508108178114,10.28508108178114,66 anos en adelante
Perú,2021,81,68.33925453919883,12.660745460801166,12.660745460801166,edad de medicion a 17 anos
Perú,2021,91,86.90484675210367,4.095153247896334,4.095153247896334,18 a 25 anos de edad
Perú,2021,76,68.65157395229461,7.348426047705388,7.348426047705388,26 a 50 anos de edad
Perú,2021,48,41.99166428323103,6.008335716768968,6.008335716768968,51 a 65 anos
Perú,2021,20,18.217827271832316,1.7821727281676836,1.7821727281676836,66 anos en adelante
Perú,2022,72,68.33925453919883,3.6607454608011665,3.6607454608011665,edad de medicion a 17 anos
Perú,2022,93,86.90484675210367,6.095153247896334,6.095153247896334,18 a 25 anos de edad
Perú,2022,80,68.65157395229461,11.348426047705388,11.348426047705388,26 a 50 anos de edad
Perú,2022,54,41.99166428323103,12.008335716768968,12.008335716768968,51 a 65 anos
Perú,2022,23,18.217827271832316,4.782172728167684,4.782172728167684,66 anos en adelante
