y_real,y_pred_lr,y_pred_rf,y_pred_gb
87,75.69109961850948,83.86,84.64066352562571
95,94.17258109999098,93.38,94.77284281242204
94,82.33924776665762,90.57,93.84213417198401
87,59.61702554443541,76.62,79.8912853641716
57,34.95035887776874,50.56,53.81097984434449
87,79.8076585420358,83.86,84.64066352562571
97,98.28914002351729,93.38,94.77284281242204
95,86.45580669018395,90.57,93.84213417198401
88,63.73358446796173,76.62,79.8912853641716
63,39.06691780129506,50.56,53.81097984434449
68,75.56681192038182,56.12,49.96219107742598
86,94.0482934018633,82.96,79.66815680907598
73,82.21496006852996,69.5,65.28565393923648
45,59.49273784630775,42.59,42.22836639428052
21,34.826071179641076,21.66,19.385287583407422
78,75.31823652412649,73.64,69.95547802785404
87,93.79971800560799,85.17,88.30075110597889
81,81.96638467227464,79.36,80.35215323312806
61,59.24416245005242,57.41,57.83606881881276
32,34.57749578338576,29.7,31.699585398717968
72,79.43479544765282,73.64,69.95547802785404
88,97.91627692913431,85.17,88.30075110597889
83,86.08294359580096,79.36,80.35215323312806
62,63.36072137357874,57.41,57.83606881881276
33,38.69405470691207,29.7,31.699585398717968
82,75.19394882599883,78.79,79.930164867144
95,93.67543030748033,93.33,98.73744722068815
92,81.84209697414698,90.9,90.32684007241804
80,59.119874751924755,73.27,69.74496149018343
46,34.45320808525809,36.72,40.63178943649115
78,79.31050774952516,78.79,79.930164867144
94,97.79198923100665,93.33,98.73744722068815
92,85.9586558976733,90.9,90.32684007241804
83,63.236433675451075,73.27,69.74496149018343
51,38.56976700878441,36.72,40.63178943649115
77,74.69679803348818,71.8,74.71659295615746
81,93.17827951496967,76.63,81.79419453827028
79,81.34494618163632,75.61,80.874286269237
72,58.6227239594141,63.42,63.455077852634
55,33.95605729274744,48.26,45.15326966856505
79,78.81335695701449,71.8,74.71659295615746
84,97.29483843849599,76.63,81.79419453827028
82,85.46150510516264,75.61,80.874286269237
75,62.73928288294042,63.42,63.455077852634
57,38.07261621627376,48.26,45.15326966856505
81,78.68906925888683,72.82,71.46293374556963
89,97.17055074036833,80.31,83.28420557590175
84,85.33721740703498,75.41,77.97870317421265
73,62.61499518481276,56.99,59.34352453652836
39,37.9483285181461,29.39,29.949093913887527
70,74.44822263723285,70.13,68.64650002995057
92,92.92970411871434,89.73,88.1070461627775
89,81.096370785381,83.03,78.06836045147679
61,58.374148563158776,53.45,56.527090820909294
25,33.70748189649211,18.34,23.33381494398123
64,78.56478156075917,70.13,68.64650002995057
91,97.04626304224067,89.73,88.1070461627775
88,85.21292970890732,83.03,78.06836045147679
64,62.490707486685096,53.45,56.527090820909294
29,37.82404082001843,18.34,23.33381494398123
81,74.32393493910519,66.82,62.02774370664414
91,92.80541642058668,86.91,85.24934092029245
76,80.97208308725334,69.24,69.93022502498607
48,58.24986086503111,43.35,45.141859914453164
20,33.583194198364446,17.73,16.353181508207822
72,78.44049386263151,66.82,62.02774370664414
93,96.92197534411301,86.91,85.24934092029245
80,85.08864201077965,69.24,69.93022502498607
54,62.36641978855743,43.35,45.141859914453164
23,37.699753121890765,17.73,16.353181508207822
